dates,scores,Score_type
3/18/19,-0.0572,title_score
3/14/19,0,title_score
3/12/19,-0.4588,title_score
3/21/19,0,title_score
4/2/19,0,title_score
3/12/19,0.34,title_score
3/23/19,-0.7506,title_score
3/14/19,-0.3612,title_score
3/18/19,-0.5574,title_score
3/12/19,0,title_score
3/22/19,0,title_score
4/2/19,-0.5106,title_score
3/12/19,0,title_score
4/4/19,-0.3182,title_score
3/26/19,0,title_score
4/5/19,0,title_score
4/8/19,0,title_score
3/19/19,0.4215,title_score
3/13/19,-0.3818,title_score
3/12/19,0,title_score
3/25/19,0,title_score
4/7/19,-0.7269,title_score
3/13/19,-0.2263,title_score
3/14/19,-0.4019,title_score
3/12/19,0,title_score
3/14/19,0.5574,title_score
3/26/19,-0.5719,title_score
3/13/19,0,title_score
3/18/19,-0.3612,title_score
3/29/19,0.4221,title_score
3/13/19,-0.296,title_score
3/12/19,-0.4215,title_score
3/25/19,-0.5423,title_score
4/5/19,-0.3612,title_score
3/11/19,0.4215,title_score
3/13/19,0,title_score
3/14/19,0,title_score
3/11/19,0,title_score
3/11/19,0,title_score
3/12/19,0.34,title_score
3/13/19,0,title_score
3/28/19,-0.3612,title_score
3/26/19,-0.3818,title_score
3/28/19,-0.3612,title_score
3/25/19,0,title_score
4/5/19,-0.6808,title_score
3/14/19,-0.3612,title_score
3/13/19,0,title_score
4/8/19,-0.128,title_score
3/15/19,0,title_score
3/22/19,-0.128,title_score
3/11/19,0.4404,title_score
3/11/19,0,title_score
4/2/19,0.6808,title_score
3/13/19,-0.3818,title_score
4/3/19,0,title_score
4/9/19,-0.2023,title_score
3/20/19,0,title_score
3/22/19,0,title_score
3/11/19,-0.2732,title_score
3/18/19,0.3818,title_score
3/13/19,-0.3818,title_score
4/2/19,0,title_score
3/25/19,-0.4019,title_score
3/14/19,0,title_score
3/13/19,-0.34,title_score
3/19/19,0,title_score
3/15/19,0,title_score
4/9/19,-0.836,title_score
4/3/19,-0.7783,title_score
3/12/19,-0.7783,title_score
3/21/19,0.25,title_score
3/26/19,0,title_score
3/12/19,-0.4019,title_score
3/15/19,0,title_score
4/8/19,0,title_score
3/11/19,0,title_score
3/13/19,0.0258,title_score
4/10/19,0,title_score
3/12/19,0,title_score
3/25/19,-0.6249,title_score
4/4/19,0,title_score
4/5/19,0,title_score
4/4/19,0,title_score
3/26/19,0,title_score
3/12/19,0,title_score
3/15/19,0,title_score
4/4/19,-0.4019,title_score
3/13/19,-0.2732,title_score
3/13/19,0.4215,title_score
3/19/19,0,title_score
3/12/19,0,title_score
3/21/19,0.34,title_score
3/21/19,-0.5267,title_score
3/12/19,0,title_score
3/14/19,-0.6597,title_score
3/11/19,-0.2732,title_score
3/11/19,0,title_score
3/16/19,-0.5423,title_score
3/18/19,0,firstP_score
3/14/19,0.0258,firstP_score
3/12/19,-0.150566667,firstP_score
3/21/19,0.33525,firstP_score
4/2/19,0,firstP_score
3/12/19,-0.33755,firstP_score
3/23/19,0.4404,firstP_score
3/14/19,0,firstP_score
3/18/19,0.6808,firstP_score
3/12/19,-0.0878,firstP_score
3/22/19,-0.07655,firstP_score
4/2/19,0.02495,firstP_score
3/12/19,0,firstP_score
4/4/19,-0.8597,firstP_score
3/26/19,0,firstP_score
4/5/19,0,firstP_score
4/8/19,0,firstP_score
3/19/19,0,firstP_score
3/13/19,0,firstP_score
3/12/19,-0.34,firstP_score
3/25/19,0.23835,firstP_score
4/7/19,-0.76815,firstP_score
3/13/19,-0.0516,firstP_score
3/14/19,-0.20095,firstP_score
3/12/19,0.0772,firstP_score
3/14/19,-0.125,firstP_score
3/26/19,0.0258,firstP_score
3/13/19,-0.4019,firstP_score
3/18/19,0,firstP_score
3/29/19,0.0107,firstP_score
3/13/19,0,firstP_score
3/12/19,-0.7783,firstP_score
3/25/19,-0.25,firstP_score
4/5/19,-0.36305,firstP_score
3/11/19,-0.6974,firstP_score
3/13/19,0.296,firstP_score
3/14/19,0,firstP_score
3/11/19,-0.23835,firstP_score
3/11/19,-0.23835,firstP_score
3/12/19,-0.33755,firstP_score
3/13/19,0,firstP_score
3/28/19,0.34,firstP_score
3/26/19,-0.3818,firstP_score
3/28/19,0.34,firstP_score
3/25/19,0,firstP_score
4/5/19,-0.8126,firstP_score
3/14/19,0,firstP_score
3/13/19,0.296,firstP_score
4/8/19,-0.20095,firstP_score
3/15/19,0,firstP_score
3/22/19,0.1027,firstP_score
3/11/19,0.0258,firstP_score
3/11/19,0,firstP_score
4/2/19,0.4939,firstP_score
3/13/19,0,firstP_score
4/3/19,0.3404,firstP_score
4/9/19,-0.2294,firstP_score
3/20/19,0,firstP_score
3/22/19,-0.07655,firstP_score
3/11/19,0,firstP_score
3/18/19,-0.24695,firstP_score
3/13/19,-0.1909,firstP_score
4/2/19,0,firstP_score
3/25/19,0,firstP_score
3/14/19,0,firstP_score
3/13/19,-0.4404,firstP_score
3/19/19,-0.25,firstP_score
3/15/19,-0.1806,firstP_score
4/9/19,-0.2023,firstP_score
4/3/19,-0.4019,firstP_score
3/12/19,-0.7783,firstP_score
3/21/19,0.0258,firstP_score
3/26/19,-0.4215,firstP_score
3/12/19,-0.0731,firstP_score
3/15/19,0,firstP_score
4/8/19,0,firstP_score
3/11/19,0,firstP_score
3/13/19,-0.6597,firstP_score
4/10/19,0,firstP_score
3/12/19,0,firstP_score
3/25/19,0.3612,firstP_score
4/4/19,0,firstP_score
4/5/19,0,firstP_score
4/4/19,0,firstP_score
3/26/19,0,firstP_score
3/12/19,-0.4019,firstP_score
3/15/19,-0.1806,firstP_score
4/4/19,0,firstP_score
3/13/19,0.4939,firstP_score
3/13/19,-0.128,firstP_score
3/19/19,-0.3818,firstP_score
3/12/19,-0.75415,firstP_score
3/21/19,0.34,firstP_score
3/21/19,0,firstP_score
3/12/19,0.312,firstP_score
3/14/19,-0.42995,firstP_score
3/11/19,0,firstP_score
3/11/19,-0.5308,firstP_score
3/16/19,-0.24695,firstP_score
3/18/19,0.036831818,content_score
3/14/19,0.045278571,content_score
3/12/19,0.010176923,content_score
3/21/19,-0.123405882,content_score
4/2/19,0,content_score
3/12/19,0.036506667,content_score
3/23/19,0.027752381,content_score
3/14/19,0.207090909,content_score
3/18/19,0.091029412,content_score
3/12/19,0.007546667,content_score
3/22/19,0.018008,content_score
4/2/19,0.102894444,content_score
3/12/19,0,content_score
4/4/19,-0.193576471,content_score
3/26/19,0,content_score
4/5/19,0,content_score
4/8/19,0,content_score
3/19/19,-0.0763,content_score
3/13/19,0.124278571,content_score
3/12/19,-0.1939375,content_score
3/25/19,0.053609091,content_score
4/7/19,-0.042006667,content_score
3/13/19,-0.120661538,content_score
3/14/19,-0.1157,content_score
3/12/19,-0.234992857,content_score
3/14/19,0.005216667,content_score
3/26/19,-0.189654545,content_score
3/13/19,-0.028617391,content_score
3/18/19,-0.245090476,content_score
3/29/19,0.107263636,content_score
3/13/19,-0.198457143,content_score
3/12/19,-0.274483333,content_score
3/25/19,-0.037418182,content_score
4/5/19,-0.116940909,content_score
3/11/19,0.002604,content_score
3/13/19,-0.147227273,content_score
3/14/19,0,content_score
3/11/19,0.16,content_score
3/11/19,0.16,content_score
3/12/19,0.036506667,content_score
3/13/19,0,content_score
3/28/19,0.227072727,content_score
3/26/19,-0.138182609,content_score
3/28/19,0.227072727,content_score
3/25/19,0,content_score
4/5/19,-0.117790909,content_score
3/14/19,0.207090909,content_score
3/13/19,-0.147227273,content_score
4/8/19,-0.072690909,content_score
3/15/19,0,content_score
3/22/19,-0.038434783,content_score
3/11/19,-0.013722222,content_score
3/11/19,0,content_score
4/2/19,-0.0606875,content_score
3/13/19,0.124278571,content_score
4/3/19,0.069866667,content_score
4/9/19,-0.020957143,content_score
3/20/19,0,content_score
3/22/19,0.018008,content_score
3/11/19,0.028146154,content_score
3/18/19,-0.137108333,content_score
3/13/19,-0.063742857,content_score
4/2/19,0,content_score
3/25/19,-0.155235294,content_score
3/14/19,0,content_score
3/13/19,0.023628571,content_score
3/19/19,0.277012644,content_score
3/15/19,0.055714286,content_score
4/9/19,-0.114906667,content_score
4/3/19,-0.117633333,content_score
3/12/19,-0.089677083,content_score
3/21/19,-0.0866,content_score
3/26/19,-0.063536364,content_score
3/12/19,-0.1074875,content_score
3/15/19,0,content_score
4/8/19,0,content_score
3/11/19,0,content_score
3/13/19,-0.036086667,content_score
4/10/19,0,content_score
3/12/19,0,content_score
3/25/19,-0.054554545,content_score
4/4/19,0,content_score
4/5/19,0,content_score
4/4/19,0,content_score
3/26/19,0,content_score
3/12/19,0.055146154,content_score
3/15/19,0.055714286,content_score
4/4/19,-0.055669231,content_score
3/13/19,0.352396552,content_score
3/13/19,0.141752941,content_score
3/19/19,0.110042,content_score
3/12/19,0.023829412,content_score
3/21/19,-0.007481818,content_score
3/21/19,-0.190605556,content_score
3/12/19,-0.011276,content_score
3/14/19,-0.198114706,content_score
3/11/19,0.028146154,content_score
3/11/19,0.054507895,content_score
3/16/19,-0.035209524,content_score